The following are the 3-grams for words #600-1000 in the lexicon file for the Corpus of Contemporary American English (COCA), which occur at least five times.

The numbers in the columns (w1,w2,w3) refer to the [wID] column in the <ngrams_lexicon.txt> file.

In the full n-grams file (available for purchase), you would of course have *all* words and you would also have all n-grams regardless of frequency.

freq	w1	w2	w3
40	600	1135	12
40	600	39	15585
39	600	10827	1
39	600	2	113
38	600	2174	1
38	600	83	18
38	600	8	536
37	600	2174	5
37	600	2	187
37	600	223	4981
36	600	8	5368
36	600	2053	1
36	600	1	37
36	600	2462	4
35	600	2174	2
34	600	8	667
33	600	4	4103
33	600	16513	2
33	600	3806	1
33	600	5	50
33	600	126	7
33	600	2053	2
33	600	5	6
33	600	1	15
33	600	1022	1
33	600	8	1308
32	600	40022	8
32	600	4	38339
32	600	5	48
32	600	83	14
32	600	36039	4
32	600	4	993
31	600	429	1
31	600	2384	18
31	600	39	147854
31	600	745	1
31	600	487	1
31	600	14	77
30	600	3806	22
30	600	2384	32
30	600	8	2021
30	600	35	6
29	600	1357	30
29	600	2384	161
29	600	83	9
29	600	8	948
29	600	234	2
29	600	8	4583
29	600	1602	5
29	600	10827	2
29	600	2462	9
28	600	78	2
28	600	2	317
28	600	249	2
27	600	2497	7
27	600	2384	36
27	600	83	32
27	600	16414	4
27	600	18	6
27	600	16513	1
27	600	10186	1349
27	600	1	39
27	600	1722	458
27	600	47292	2
27	600	5	70
26	600	5	1052
26	600	8	67
26	600	14	6
26	600	14	4076
26	600	249	4
25	600	429	2
25	600	8	2560
25	600	39	38339
25	600	8	339
25	600	604	5106
25	600	14	132
25	600	1504	9
25	600	8	726
25	600	5	1086
24	600	5	205
24	600	1	49
24	600	12236	1
24	600	1280	2
24	600	1	41
24	600	8	2140
24	600	5379	2408
24	600	3806	9
24	600	83	13
24	600	2656	30
23	600	22	21510
23	600	880	17047
23	600	40022	38
23	600	8	2951
23	600	329	5
23	600	9	6
23	600	487	4
23	600	10827	4
23	600	8	1632
23	600	83	12
23	600	2462	51
23	600	78	1
23	600	1135	7
23	600	2462	40
23	600	206	2
23	600	809	83
23	600	1	8
22	600	1397	2
22	600	10186	4564
22	600	604	14
22	600	12236	2
22	600	102	1
22	600	1	76
22	600	1	127
22	600	707	12
22	600	27	1
22	600	1135	1547
22	600	1	114
22	600	4	850
22	600	35	29
22	600	2159	7
21	600	2174	4
21	600	745	2
21	600	2	90
21	600	8	740
21	600	249	1
21	600	1280	1
21	600	38	3
21	600	2	256
21	600	1370	12
21	600	16414	9
21	600	1	19
21	600	2	27
21	600	5	62
21	600	8	1082
21	600	436	4837
21	600	6275	13
21	600	18	3
21	600	39	14
20	600	2656	8
20	600	3395	2
20	600	4429	2
20	600	1357	22
20	600	1370	9
20	600	4543	2
20	600	78	5
20	600	3806	13
20	600	177	12
20	600	4869	1
20	600	1	6
20	600	2384	27
20	600	1357	1214
20	600	4	1722
19	600	487	2
19	600	22	5438
19	600	571	66
19	600	1357	685
19	600	8	1128
19	600	2	203
19	600	5	71
19	600	429	4
19	600	8	1871
19	600	5	7
19	600	3412	606
19	600	1	18
19	600	8	18304
19	600	604	1547
19	600	1186	27
19	600	2384	228
19	600	8	1589
19	600	263	4
19	600	5	268
19	600	177	4
19	600	604	7
19	600	1135	7762
19	600	2884	5
18	600	6738	2
18	600	2	267
18	600	16513	18
18	600	6486	2
18	600	762	1
18	600	1357	39
18	600	671	2
18	600	270	49
18	600	1280	9
18	600	1	108
18	600	8	5891
18	600	8	5017
18	600	2	139
18	600	8	1809
18	600	5242	5
18	600	1602	1
18	600	8	14464
18	600	1135	15373
18	600	1504	210
17	600	19038	2
17	600	458	429
17	600	13	77
17	600	5	1258
17	600	306	2
17	600	1	327
17	600	36039	14
17	600	47292	1
17	600	3369	2
17	600	6653	2
17	600	279	17
17	600	270	23
17	600	2656	12
17	600	1	2557
17	600	1357	516
17	600	2384	51
17	600	6653	1
17	600	604	47
17	600	6270	702
17	600	604	8
17	600	102	2
17	600	8	2055
17	600	1602	2
16	600	707	9
16	600	39	4606
16	600	175	4
16	600	2497	2
16	600	8	21707
16	600	39	32
16	600	253	1
16	600	8	2395
16	600	7	4
16	600	1504	258
16	600	4	932
16	600	2	2
16	600	8	5213
16	600	8	1047
16	600	2656	5
16	600	707	4
16	600	604	7961
16	600	83	30
16	600	702	1
16	600	39	55067
16	600	8	2873
16	600	2656	39
16	600	1504	47
16	600	4543	5
16	600	2	4273
16	600	47292	13
16	600	8	128
16	600	569	119
16	600	1022	9
16	600	151	6
16	600	151	3
15	600	234	1
15	600	8	3500
15	600	8	213
15	600	14	454
15	600	76	3
15	600	229	4
15	600	5	3097
15	600	1397	8126
15	600	8	1620
15	600	537	5
15	600	2	326
15	600	83	7
15	600	8	7872
15	600	2384	434
15	600	7219	1360
15	600	1112	2
15	600	3806	14
15	600	5	624
15	600	604	6694
15	600	571	2
15	600	35	77
15	600	8	888
15	600	5	109
15	600	2462	36
15	600	7	28
15	600	36039	28
14	600	4	23
14	600	1022	4
14	600	980	789
14	600	4	5171
14	600	16513	4
14	600	2013	26
14	600	3648	13
14	600	1504	14
14	600	5	4355
14	600	1135	66
14	600	22	6
14	600	2462	8
14	600	175	30
14	600	76	469
14	600	22	250
14	600	4249	1
14	600	93	4
14	600	8	3100
14	600	2384	4050
14	600	16414	26
14	600	16414	52
14	600	5	1237
14	600	745	4
14	600	8	450
14	600	8	4755
14	600	2009	2
14	600	3122	1
14	600	1495	3132
14	600	2497	719
14	600	4	642
14	600	1397	1
14	600	83	49
14	600	6486	1
14	600	2	573
14	600	2568	5
14	600	1	72
14	600	5	22345
14	600	1504	12
14	600	4	11
14	600	2	303
14	600	8	1142
14	600	8	8073
14	600	5	1145
13	600	1135	3491
13	600	8	839
13	600	3648	2
13	600	8858	1
13	600	177	7
13	600	39	149028
13	600	35	60
13	600	1357	13
13	600	6653	4
13	600	604	475
13	600	5861	9
13	600	223	1403
13	600	604	4739
13	600	1	14
13	600	1872	1
13	600	7551	13
13	600	8434	5
13	600	39	290071
13	600	8	1860
13	600	1135	30
13	600	2384	40
13	600	2	499
13	600	747	1
13	600	4869	4
13	600	3122	9
13	600	8	160
13	600	19038	1
13	600	2	355
13	600	5	1615
13	600	4	38684
13	600	270	13
13	600	16414	28
13	600	16414	19
13	600	2	310
13	600	18063	2
13	600	1100	2220
13	600	8	1994
12	600	5	124
12	600	35	91
12	600	1357	38
12	600	1	29
12	600	5	542
12	600	39	193847
12	600	1112	1
12	600	1	1530
12	600	6486	13
12	600	604	2906
12	600	13533	2605
12	600	5	68
12	600	4	37
12	600	990	5
12	600	789	13
12	600	2384	604
12	600	604	32
12	600	2497	1
12	600	4	1499
12	600	35	48
12	600	671	22
12	600	2053	51
12	600	8	2128
12	600	4429	1
12	600	14	1252
12	600	3372	2
12	600	3497	2
12	600	1135	16
12	600	1410	1299
12	600	1135	163
12	600	7	39
12	600	2	465
12	600	5	253
12	600	1357	7
12	600	8	2648
12	600	270	22
12	600	35	135
12	600	4	44
12	600	2	476
12	600	4	34
12	600	762	2
12	600	8	2382
12	600	4	108
12	600	5	1216
12	600	2384	8
12	600	8	17306
12	600	1357	19
11	600	4	6
11	600	2497	588
11	600	1567	5
11	600	1504	36
11	600	8	3748
11	600	8	3710
11	600	1	9
11	600	35	36
11	600	9	48
11	600	5954	1
11	600	8	770
11	600	1619	1
11	600	46940	1785
11	600	4543	1
11	600	901	507
11	600	4	19
11	600	45339	1
11	600	702	2
11	600	4	32
11	600	10764	4429
11	600	4	15
11	600	2462	210
11	600	236	3
11	600	35	1615
11	600	5	3271
11	600	2	286
11	600	2656	7
11	600	7	8
11	600	306	1
11	600	9046	1
11	600	16513	16050
11	600	1	103
11	600	1	6590
11	600	279	37
11	600	2	285
11	600	1357	16
11	600	2159	4
11	600	3122	2
11	600	2	746
11	600	2159	1214
11	600	5	1495
11	600	1357	1881
11	600	8	3098
11	600	2462	28
11	600	1	221
11	600	7411	5
11	600	13561	7093
11	600	9046	2
11	600	5	2124
11	600	2632	1
11	600	47292	9
11	600	5	6638
11	600	5327	2
11	600	27	61
11	600	2	414
11	600	720	1
11	600	8858	2
11	600	259	8
11	600	1135	134
10	600	1	639
10	600	2053	4
10	600	671	1
10	600	2053	5
10	600	4552	4
10	600	2462	44
10	600	1504	27
10	600	1317	5
10	600	40022	27
10	600	747	4
10	600	1652	1
10	600	604	5
10	600	14390	13
10	600	2	539
10	600	8	394
10	600	2013	9
10	600	16729	12126
10	600	980	2009
10	600	8	2451
10	600	1135	26
10	600	604	53
10	600	2	681
10	600	8	11259
10	600	13	822
10	600	4	12
10	600	2462	330
10	600	1397	4
10	600	1135	47
10	600	16513	9
10	600	527	16
10	600	253	2
10	600	30	10
10	600	27	4
10	600	1	756
10	600	18	48
10	600	1	5904
10	600	8	6707
10	600	3497	1
10	600	1597	9
10	600	83	16
10	600	8	2713
10	600	14390	8
10	600	2384	2092
10	600	4	25059
10	600	4249	2
10	600	4552	1
10	600	56797	833
10	600	1872	4
10	600	14	528
10	600	4	8
10	600	8	7
10	600	1602	7
10	600	9	36
10	600	18063	1
10	600	7	27
10	600	6486	14
10	600	8	9623
1515	601	4	1268
804	601	9	6
768	601	1	4
569	601	2	10
406	601	9	3
317	601	22	5793
261	601	1271	1
248	601	10	198
248	601	2	20
239	601	1271	2
238	601	222	5658
237	601	2	7
234	601	35	3
208	601	4	872
201	601	1	3
194	601	551	1
189	601	10	478
188	601	551	2
188	601	1	72
176	601	9	364
172	601	22	2756
169	601	2	2927
163	601	1271	4
149	601	4	3
149	601	1	7
149	601	314	1
144	601	1	1424
144	601	659	1
143	601	10	240
143	601	13	3
141	601	22	11819
139	601	222	16762
135	601	22	3
134	601	1	45
129	601	1	625
129	601	659	2
122	601	2	54
121	601	2217	1
119	601	2217	2
115	601	2	58
112	601	1	2199
110	601	74	3
109	601	240	4121
105	601	1	1153
103	601	1	6
102	601	198	6268
102	601	1	7984
99	601	2	69
98	601	551	4
98	601	551	26
97	601	6	159
92	601	1	39
92	601	2	11
91	601	1	3975
90	601	1068	2
88	601	1	1268
87	601	4	254
86	601	1068	1
86	601	1	1071
86	601	2	89
85	601	1271	26
85	601	314	2
84	601	4	96
84	601	47845	2
79	601	198	364
79	601	1	3518
79	601	1271	9
79	601	4	7984
78	601	1271	44
78	601	2955	1
74	601	8659	1
74	601	551	44
74	601	1	518
73	601	10	1670
72	601	1	665
72	601	198	5658
71	601	198	1317
71	601	2217	4
71	601	2	56
70	601	27	1
69	601	1	5218
68	601	8659	2
68	601	2	87
67	601	38445	9
67	601	74	6
66	601	198	3385
66	601	1	108
65	601	1	15
64	601	49283	1
64	601	12	6
63	601	2095	1
63	601	1	27530
63	601	2955	2
63	601	4	6
63	601	551	8
63	601	10	4192
61	601	604	2
61	601	1	1076
61	601	4	3975
59	601	4	601
58	601	198	246
58	601	9	8808
57	601	299	2
56	601	10	370
56	601	198	2
56	601	10387	2
56	601	4	6171
56	601	2095	2
56	601	178	119
55	601	4765	1
55	601	4765	2
55	601	1	872
55	601	1	3764
55	601	13	6
55	601	4	5696
55	601	299	1
55	601	38445	1
53	601	14	3
53	601	1068	4
53	601	1	1106
53	601	2	152
53	601	2	113
52	601	2095	5
52	601	198	10380
52	601	4	2199
52	601	2217	9
52	601	2	104
51	601	151	6
49	601	1271	66
49	601	4565	2
49	601	3370	2
49	601	10	11679
49	601	659	4
49	601	14368	1
48	601	198	13620
47	601	12	3
47	601	1519	1
46	601	1	1527
45	601	2	138
45	601	47	65
45	601	19974	9
44	601	39	3248
44	601	1	1779
44	601	11085	2
44	601	1	5696
44	601	1	17
44	601	64	25
43	601	222	3
43	601	1519	5
43	601	1068	9
42	601	11085	4
42	601	11679	4
41	601	66	25
41	601	1	749
40	601	743	159
40	601	39	1268
40	601	4050	1
40	601	12	907
40	601	33830	9
40	601	2217	5
40	601	659	9
40	601	27	2
39	601	28846	1
39	601	33749	2
39	601	49283	2
39	601	9593	1
39	601	240	9596
39	601	4	5218
38	601	2955	5
38	601	8219	2
38	601	10387	1
37	601	35	571
37	601	551	9
37	601	4	18218
37	601	14	487
37	601	32	3
37	601	33749	1
37	601	10551	1
37	601	240	13620
37	601	1	324
37	601	1068	12
36	601	659	12
36	601	2	326
36	601	1271	53
35	601	370	4121
35	601	10	468
34	601	4	3248
34	601	10	93
34	601	2	156
34	601	11085	1
34	601	1	748
34	601	1	41
34	601	14	21506
34	601	314	9
34	601	52	12
34	601	4	12340
34	601	1	2187
33	601	2	203
33	601	1271	46
33	601	2	92
33	601	646	1
33	601	22	693
33	601	1	23
33	601	240	12043
32	601	2	187
32	601	240	364
32	601	76	2245
32	601	240	10380
32	601	7903	2
32	601	8	157
32	601	5353	1
32	601	7903	1
31	601	1	3389
31	601	4	108
31	601	1	11
31	601	1	14
31	601	32	6
31	601	6459	1
31	601	9593	2
30	601	53	25
30	601	12	34
30	601	240	26990
30	601	1	12
29	601	1519	2
29	601	28667	9
29	601	198	1670
29	601	2	28
29	601	2	100
29	601	22	2105
29	601	551	46
29	601	49283	4
29	601	4	69916
29	601	22027	2
28	601	1271	81
28	601	27	4
28	601	61265	5
28	601	4192	1317
28	601	22	75863
28	601	6459	9
27	601	12241	1
27	601	1	127
27	601	659	47
27	601	604	12
27	601	551	14
27	601	2	15111
27	601	2	10602
27	601	8219	1
27	601	234	1
26	601	30	7
26	601	8659	4
26	601	6459	4
26	601	28846	4
26	601	11085	9
26	601	2955	4
26	601	3986	1
26	601	1	8
25	601	1	198
25	601	646	2
25	601	1	2244
25	601	1827	119
25	601	2	267
25	601	1	1026
25	601	198	6919
25	601	2	240
25	601	10	30757
25	601	1271	8
25	601	240	6547
24	601	1	943
24	601	1670	6795
24	601	198	26441
24	601	22027	1
24	601	81	25
24	601	1	37
24	601	2	523
24	601	4	7310
24	601	1	49281
24	601	3430	2
23	601	4192	6795
23	601	35	6
23	601	5353	2
23	601	3430	1
23	601	6459	2
23	601	151	3
23	601	154	3
23	601	1	2691
22	601	1	34
22	601	1	2296
22	601	16	8209
22	601	2013	2
22	601	1670	3385
22	601	4765	4
22	601	9593	5
22	601	551	66
22	601	5537	5
22	601	4	1
22	601	1670	1317
22	601	22	29
22	601	4	198
22	601	4565	4
22	601	659	24
22	601	1	4187
22	601	551	30
21	601	9	5096
21	601	5427	703
21	601	551	94
21	601	52	33
21	601	5	3
21	601	4806	2
21	601	1	916
21	601	39	872
21	601	21557	1
21	601	22	6
21	601	32378	19
21	601	8219	35
21	601	4142	5134
21	601	222	305
21	601	1	6121
21	601	198	5596
21	601	4	556
21	601	2978	4
21	601	2	317
20	601	4214	2
20	601	3055	2
20	601	1109	1
20	601	4806	1
20	601	314	4
20	601	142	25
20	601	1	4927
20	601	2	8428
20	601	1271	13
20	601	1	3989
20	601	2217	26
20	601	143	31
20	601	52281	2
20	601	39	6414
20	601	8	25
20	601	1	76
20	601	10	645
20	601	4	3006
20	601	1	114
20	601	61	3006
20	601	27755	2
20	601	18	6
20	601	8659	26
20	601	370	13620
20	601	2	27
20	601	1068	47
19	601	39	96
19	601	2	370
19	601	2	414
19	601	40473	1
19	601	19	41
19	601	2	139
19	601	3308	1
19	601	2	11832
19	601	2	43906
19	601	28	9174
19	601	825	2
19	601	11656	6795
19	601	4192	3385
19	601	8	420
19	601	3370	4
19	601	1271	1265
19	601	2	12182
19	601	28	39
19	601	28846	2
19	601	1	638
19	601	2	478
19	601	1	632
19	601	40473	2
18	601	1	10024
18	601	10387	4
18	601	2	90
18	601	31943	2
18	601	646	9
18	601	9	82
18	601	4	780
18	601	3044	2
18	601	22	62
18	601	1068	38
18	601	3308	2
18	601	2	9275
18	601	14	6
18	601	2	10605
18	601	4	16613
18	601	2	218
18	601	2	16497
18	601	234	2
18	601	12241	2
18	601	2	172
17	601	551	19
17	601	2978	2
17	601	76	15
17	601	1068	16
17	601	198	26723
17	601	3986	2
17	601	370	12043
17	601	4	3753
17	601	240	3975
17	601	1109	2
17	601	35951	1
17	601	1	330
17	601	2772	1
17	601	551	35
17	601	4	8901
17	601	1271	2570
17	601	22	82
17	601	1271	12
17	601	27755	1
17	601	2	398
17	601	1	85
17	601	9	36
17	601	2	476
17	601	4158	2
17	601	1	18
17	601	60110	2
17	601	10	130
16	601	240	9825
16	601	1271	22
16	601	18	3
16	601	47	6
16	601	22027	4
16	601	921	3
16	601	314	24
16	601	52	382
16	601	12091	1
16	601	8826	9117
16	601	4765	8
16	601	1	103
16	601	9	7482
16	601	28	288
16	601	1	5675
16	601	7440	1
16	601	875	4
16	601	9	5658
16	601	1	4194
16	601	6	141
16	601	60110	1
16	601	1104	1
16	601	27755	9
16	601	2	286
16	601	222	1027
16	601	2477	9
16	601	2	316
16	601	13	8808
16	601	4	240
16	601	1271	396
15	601	2	256
15	601	551	53
15	601	33749	4
15	601	767	1
15	601	1068	66
15	601	134	4
15	601	61	15
15	601	10	11656
15	601	944	2
15	601	1	14996
15	601	1	254
15	601	1184	3
15	601	1	10061
15	601	2	468
15	601	61	4
15	601	1	9
15	601	314	3446
15	601	676	907
15	601	5353	5
15	601	198	24037
15	601	299	4
15	601	875	5145
15	601	659	16
15	601	9	22571
15	601	604	4
15	601	17553	13
15	601	1	6171
15	601	9117	2
15	601	4	12477
15	601	9	29
15	601	3385	2199
15	601	26509	16
14	601	23873	1
14	601	8	1987
14	601	27	10
14	601	136	25
14	601	47845	4
14	601	1	645
14	601	10869	2
14	601	11704	18
14	601	1	3006
14	601	4	7315
14	601	1519	9
14	601	2013	1
14	601	12	9
14	601	43	65
14	601	9593	4
14	601	1	4753
14	601	60110	4
14	601	7440	2
14	601	4214	1
14	601	4	228
14	601	537	2
14	601	2095	12
14	601	1	2022
14	601	47845	12
14	601	676	3
14	601	659	8
14	601	3534	2
14	601	1104	9
14	601	35951	2
14	601	1	17419
14	601	526	15
13	601	114	15
13	601	504	3
13	601	485	35
13	601	537	9
13	601	627	73
13	601	468	12043
13	601	6965	26
13	601	6424	1
13	601	30	10
13	601	198	28
13	601	22	15
13	601	2955	38
13	601	11656	1317
13	601	706	798
13	601	10116	38
13	601	3055	1
13	601	12	106
13	601	4	25890
13	601	4	85
13	601	2	11960
13	601	537	1
13	601	875	2314
13	601	1	26
13	601	31943	1
13	601	8	22720
13	601	12091	2
13	601	39	6
13	601	9	42
13	601	2718	9
13	601	314	3278
13	601	1	221
13	601	39	3
13	601	4	77548
13	601	4	11831
13	601	1	327
13	601	314	8
13	601	4	29874
13	601	5353	4
13	601	1670	10380
13	601	19111	9
13	601	1	706
13	601	4	15
13	601	52	16
13	601	151	42
12	601	61	18218
12	601	12241	4
12	601	14	198
12	601	1271	30
12	601	56558	9
12	601	4	20852
12	601	18433	13
12	601	3044	1
12	601	236	3
12	601	52281	9
12	601	551	43
12	601	10332	1
12	601	4	10024
12	601	12	42
12	601	1	3248
12	601	2617	2
12	601	1616	1
12	601	14	62388
12	601	1	4802
12	601	2	721
12	601	6424	2
12	601	24779	2
12	601	4	22762
12	601	1	49
12	601	32378	153
12	601	875	8913
12	601	4	3695
12	601	2	410
12	601	8659	5
12	601	2955	9
12	601	1	50
12	601	4	2187
12	601	1068	8
12	601	12	150
12	601	14368	22
12	601	1271	93
12	601	110883	9
12	601	646	4
12	601	4	37092
12	601	12	164
12	601	3430	4
12	601	8	5963
12	601	109602	703
12	601	22	60
12	601	1085	2
12	601	12	102
11	601	314	4101
11	601	1	5596
11	601	370	26990
11	601	4	6160
11	601	4	61370
11	601	63783	1
11	601	1	2675
11	601	2217	30
11	601	9	571
11	601	1271	3537
11	601	2	427
11	601	2	310
11	601	12091	4
11	601	88	3
11	601	1	11574
11	601	40473	4
11	601	9	15
11	601	1	18218
11	601	14368	18
11	601	38	3
11	601	4	13381
11	601	2617	1
11	601	2	656
11	601	28	6
11	601	1	5788
11	601	222	54755
11	601	748	16220
11	601	61	3
11	601	875	2
11	601	1	240
11	601	358	5
11	601	4	487
11	601	4765	9
11	601	10	23854
11	601	9659	5
11	601	8826	24286
11	601	134	6
11	601	1657	222
11	601	4765	26
11	601	1104	2
11	601	134	3
11	601	47	8
11	601	175	2
11	601	4	11140
11	601	12	3897
11	601	1	95
11	601	4806	26
11	601	4	9249
11	601	2217	18
11	601	1	2868
11	601	7903	4
11	601	1585	8
11	601	4	91
11	601	12	31
11	601	4922	2
11	601	4	2002
11	601	1	76643
11	601	2	13177
11	601	1271	43
11	601	10	218
10	601	2	619
10	601	214	25
10	601	1	1138
10	601	2	119297
10	601	12	122
10	601	35	48
10	601	4214	4
10	601	4	30893
10	601	44	65
10	601	61	32707
10	601	3534	1
10	601	1	1250
10	601	1616	2
10	601	1271	222
10	601	198	3975
10	601	1	3571
10	601	4	8
10	601	4	5405
10	601	131	2
10	601	8219	4
10	601	1	57
10	601	35	91
10	601	47	535
10	601	2955	19
10	601	22	48
10	601	551	39
10	601	72	12
10	601	52	64
10	601	4	84668
10	601	12	79
10	601	3278	1
10	601	31943	4
10	601	14	48
10	601	4565	12
10	601	1271	28
10	601	12	649
10	601	11239	9
10	601	12	13459
10	601	1	120
10	601	88	41
10	601	551	59
10	601	4	4192
10	601	4	1323
10	601	1068	53
10	601	4	13893
10	601	149	2
10	601	314	52
10	601	4765	13
10	601	676	3742
10	601	2	499
10	601	2511	3645
10	601	2	26539
10	601	17609	9
10	601	1	351
10	601	4234	1
10	601	1	47
10	601	9	246
10	601	659	14
10	601	370	364
10	601	3986	9
10	601	1	19845
10	601	12	86
10	601	5	6
10	601	52281	1
10	601	1271	32
10	601	314	47
10	601	20522	5
10	601	551	18
10	601	127	989
10	601	2955	22
10	601	4	17
10	601	39	18834
10	601	8219	9
10	601	12	530
937	602	2	7
695	602	2	10
563	602	1	7
493	602	1	4
492	602	14	15
481	602	5	3
479	602	5	1083
448	602	2	11
377	602	1	45
326	602	2	20
323	602	9	3
301	602	22	3
287	602	2	56
270	602	1	3
244	602	2	54
242	602	35	3
230	602	14	7
196	602	14	3
194	602	2	58
189	602	13	3
186	602	63	3
186	602	5	15
168	602	1	11
165	602	5	9956
164	602	2	69
146	602	1	23
141	602	8	3342
140	602	5	2488
132	602	14	602
130	602	5	631
128	602	2	100
126	602	959	75
126	602	1	6
126	602	19	3
124	602	39	98
123	602	5	6
121	602	2	104
120	602	30	7
114	602	40	7
113	602	1	15
111	602	2	87
106	602	10515	1
103	602	178	119
103	602	19	23
101	602	14	6
101	602	2	92
98	602	9	6
97	602	1	49
92	602	63	15
92	602	4	3
91	602	8653	1
89	602	75	2
89	602	5	36
88	602	22	36
87	602	99	86
86	602	2	90
84	602	18	17
82	602	19	11
82	602	8	191
81	602	13	68
76	602	2	139
75	602	1	34
75	602	2	89
75	602	1	17
73	602	52	485
72	602	12	19
70	602	8653	2
69	602	12	7
68	602	1	72
67	602	14	57
67	602	8	506
65	602	22	50
65	602	5	2009
65	602	14	36
64	602	5	2719
64	602	39	6
64	602	1	12
63	602	52	12
63	602	5	29
62	602	1	39
62	602	19	17
62	602	5	57
61	602	47	65
59	602	22	387
56	602	22	15
55	602	14	50
55	602	19	41
55	602	131	2
54	602	2	138
54	602	1	114
54	602	2	113
53	602	1	41
53	602	406	22
53	602	13	737
52	602	1	108
52	602	2	187
51	602	13	70
51	602	52	16
51	602	1	9
51	602	131	12
51	602	75	1
50	602	75	13
50	602	19	37
50	602	75	63
50	602	4	18105
50	602	2	152
49	602	9	36
49	602	705	75
49	602	1	94
47	602	18	6
47	602	39	49152
46	602	2	203
46	602	48005	38
46	602	1	37
45	602	2	172
45	602	1	76
45	602	126	7
44	602	13	17
44	602	23	1839
44	602	52	47
43	602	12	75
43	602	151	6
43	602	2	317
43	602	10515	4
43	602	18	3
42	602	22	57
41	602	17644	1
41	602	9	29
41	602	5	4086
41	602	63	36
41	602	13	124
40	602	39	4474
40	602	1	19
39	602	5	50
39	602	32	3
39	602	12	6
39	602	5	3959
39	602	14	68
39	602	208	35
38	602	12	34
38	602	2	326
38	602	19	6
37	602	16	7
37	602	19	15
37	602	53	25
37	602	23	55
37	602	75	19
37	602	2	303
37	602	131	1
37	602	208	19
36	602	35	70
36	602	1	200
36	602	10515	365
36	602	12	94
35	602	1	8
35	602	7855	7
35	602	11	118
35	602	2	156
35	602	16	75
35	602	19	49
35	602	8653	4
35	602	14	17
35	602	12	3
33	602	35	6
33	602	1	86
33	602	9	178063
33	602	4	11
33	602	12	1
32	602	38	602
32	602	1	57
31	602	10515	2
31	602	22	6
30	602	52	1132
30	602	32	6
30	602	35	17
30	602	13	29
30	602	52	33
29	602	5	48
29	602	86287	19
29	602	5	2040
